,File Name,Date,Minimum,Maximum,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile,District,Year,Month,Day,Area (Hectare),Production (Tonnes),Yield (Tonnes/Hectare)
27,MOD15A2H_006_Lai_500m_doy2006001_aid0003,2006-01-01,0.1,2.3,0.2983066,0.20789459999999998,0.0432201,0.3,0.4,0.2,0.1,0.2,NAGAUR,2006,1,1,71316,163469,2.2921784732738795
28,MOD15A2H_006_Lai_500m_doy2007001_aid0003,2007-01-01,0.1,1.9,0.27851940000000003,0.203398,0.0413708,0.3,0.4,0.2,0.1,0.2,NAGAUR,2007,1,1,76384,165160,2.162232928361961
29,MOD15A2H_006_Lai_500m_doy2008001_aid0003,2008-01-01,0.1,2.7,0.26538540000000005,0.1682088,0.028294200000000002,0.3,0.4,0.2,0.1,0.2,NAGAUR,2008,1,1,79567,161304,2.02727261301796
30,MOD15A2H_006_Lai_500m_doy2009001_aid0003,2009-01-01,0.0,2.4,0.3009092,0.2240344,0.0501914,0.3,0.4,0.2,0.1,0.2,NAGAUR,2009,1,1,67100,173274,2.582324888226528
31,MOD15A2H_006_Lai_500m_doy2010001_aid0003,2010-01-01,0.1,2.7,0.2624643,0.2221853,0.0493663,0.3,0.6,0.2,0.1,0.1,NAGAUR,2010,1,1,77165,194171,2.5163092075422795
32,MOD15A2H_006_Lai_500m_doy2010001_aid0003,2010-01-01,0.1,2.7,0.2624643,0.2221853,0.0493663,0.3,0.6,0.2,0.1,0.1,NAGAUR,2010,1,1,77165,194171,2.5163092075422795
33,MOD15A2H_006_Lai_500m_doy2001001_aid0004,2001-01-01,0.1,2.5,0.32110520000000004,0.1565083,0.024494799999999997,0.4,0.7,0.3,0.1,0.2,PALI,2001,1,1,51527,74074,1.4375764162477924
34,MOD15A2H_006_Lai_500m_doy2002001_aid0004,2002-01-01,0.1,2.7,0.360333,0.1997118,0.0398848,0.4,0.7,0.3,0.1,0.2,PALI,2002,1,1,68178,113534,1.665258587814251
35,MOD15A2H_006_Lai_500m_doy2003001_aid0004,2003-01-01,0.1,3.3,0.2399781,0.092127,0.008487399999999999,0.3,0.4,0.2,0.1,0.2,PALI,2003,1,1,29431,61032,2.0737317794162617
36,MOD15A2H_006_Lai_500m_doy2004001_aid0004,2004-01-01,0.1,1.9,0.34125659999999997,0.1601962,0.0256628,0.4,0.7,0.3,0.1,0.2,PALI,2004,1,1,38801,79685,2.0536841833973347
37,MOD15A2H_006_Lai_500m_doy2005001_aid0004,2005-01-01,0.1,1.8,0.3052695,0.1427126,0.0203669,0.3,0.4,0.3,0.1,0.2,PALI,2005,1,1,25553,43649,1.7081751653426211
