,nOct,nNov,nDec,nJan,nFeb,nMar,nApr,nMay,eOct,eNov,eDec,eJan,eFeb,eMar,eApr,eMay,Area,Production,Yield
0,0.2530924083493816,0.20547734254272995,0.21460016447560967,0.2316177808930395,0.2257665360425879,0.2010721623084916,0.16690131462268984,0.14627765434085954,0.16854454749793665,0.13278335635682512,0.13843383222317174,0.15086896896867605,0.1511594349313565,0.13719076252213233,0.11498574284083762,0.10285442104801064,27.49,99.105,2778.0
1,0.25204957880379114,0.22022471745334796,0.2278096298616152,0.2506514311469077,0.24857927782915604,0.2307339618720953,0.16940833406498212,0.14695112073632918,0.16584648378731204,0.1408790290523235,0.145380651298382,0.16355985032954432,0.1670724365803121,0.15862170697587302,0.1185051616358496,0.10302676129296601,25.73,99.105,2708.0
2,0.20008822393200912,0.17828504660589126,0.18711080882546613,0.20610116770804374,0.20749228161294767,0.19470645782483745,0.1611104127950365,0.13882761527092874,0.1345773785239967,0.11512347210231348,0.12028834480074226,0.1314587980508934,0.1395681623487459,0.13419919986888856,0.11180454557426947,0.09771415648458416,26.34,99.105,2762.0
3,0.2991654936956345,0.2422148866357181,0.2521255170940297,0.2666597646886661,0.2610267947764908,0.2275418656989421,0.16869794143900269,0.15979289980830866,0.19774240373696106,0.15881780050462171,0.16391510877486698,0.1730334455257189,0.17293432157009658,0.15469390333484542,0.11737837164722925,0.1109744889448192,25.2,99.105,2610.0
4,0.2679952459568241,0.2337968072959363,0.252086740963873,0.26357259131982363,0.2524154175519928,0.22539071377976036,0.1647867709507016,0.15418392513791535,0.1721306930113429,0.14814709099426165,0.1614182505320534,0.17163327674172862,0.1678703036741766,0.15165189728549436,0.11251033787442018,0.10699979309032903,26.59,99.105,2713.0
5,0.29614397201732817,0.23859518432006185,0.2448884141879511,0.2551619445533891,0.2451327330412362,0.21075454404434724,0.16452207192046436,0.14778501295014554,0.1962401121063107,0.15416185479197034,0.15848307058265668,0.16887551117771368,0.16570553287265086,0.14158813464572234,0.11243862703148827,0.10256882160991523,26.38,99.105,2602.0
6,0.2704479755840505,0.24106986508721895,0.2571059283896904,0.27243537342880064,0.26772366443719164,0.23496336417467475,0.1856524200440168,0.16251473599185245,0.17864511095497398,0.15464882419763784,0.1659606105234187,0.18041730412331905,0.1753516507383611,0.15454304664838234,0.12617787367422914,0.11375613911862666,26.48,99.105,2619.0
7,0.2880582110522757,0.2320865033368458,0.24643735255723564,0.260172082466261,0.2526931004811576,0.22707960478565245,0.17342324736746612,0.1582991340230322,0.19250999382374545,0.15054456181945916,0.15885885417581333,0.17030935413721549,0.17118604906402562,0.1542622216759149,0.11817346715990705,0.10926051478657872,27.99,99.105,2708.0
8,0.26954794389432185,0.24128617857383294,0.26169445029825145,0.2725959356113265,0.2525524615735811,0.2159849973953303,0.16681664847305344,0.15130532872883715,0.17585046320552866,0.15395211150107285,0.16666486984060086,0.17600612189946588,0.16722316911136345,0.14634542309785953,0.11294771301892033,0.10394044776774616,28.04,99.105,2802.0
9,0.2414846948301849,0.2172608055745784,0.2407802220700393,0.2586290741743367,0.24138017325392536,0.21369693001068207,0.15514323182955558,0.14359069521064108,0.1600114248086744,0.13678256598008748,0.1538605181829356,0.16615252549788556,0.15661754517918028,0.14096523595604268,0.1070927291883112,0.0995406576040036,27.75,99.105,2907.0
10,0.34775992185099,0.2810489981881036,0.2899708030372218,0.31115982613022675,0.32187452499414665,0.2902667309543948,0.1954182411214679,0.1703736689152607,0.23451780714463416,0.17811866165541185,0.1747381166063672,0.19322737717154276,0.21083313714586752,0.1929454922986424,0.13222471151172832,0.116752340537614,28.46,99.105,2839.0
11,0.3589024474081014,0.28506266407446346,0.29129229240218024,0.30173141004814785,0.29019982088032065,0.2507260402185652,0.19926722271974334,0.17926829628762486,0.23807417324217894,0.18609759879603086,0.18808693610618327,0.19771748810935005,0.19321036552707133,0.17237039624447226,0.13845717513330635,0.12392440802470038,29.07,99.105,2988.0
12,0.3676649443070213,0.2727256785482142,0.28101158397348824,0.29644005111151434,0.3085703913917812,0.2690483518702805,0.2075347739052307,0.1760498994717511,0.2474629630713837,0.17555534376848253,0.17869005134900928,0.19395815149616813,0.2087570396953402,0.17859953491775446,0.13992545647701304,0.12183336425759815,29.86,99.105,3177.0
13,0.362340511520481,0.2940618999522803,0.3072823570562994,0.32562887009816843,0.3333818666362263,0.2948077007275772,0.21073208981214026,0.18495413440095526,0.2302492876358644,0.1838031928379253,0.19348062686235146,0.2067233259575365,0.22013906431105346,0.19868630832177286,0.1399194064227621,0.1242405049547256,30.0,99.105,3117.0
14,0.3288453706821089,0.2693179742714439,0.2825568240828287,0.3096466926969761,0.30632973472099456,0.26868672785488096,0.2166629615972185,0.18300225464889644,0.21692608637099545,0.17271748681074814,0.1812988103775822,0.19864014833764085,0.20087384555048912,0.17514917788092887,0.14310348733076966,0.12329443244540435,30.47,99.105,3146.0
15,0.30628112207859104,0.2618665796314077,0.2792888858966892,0.3023973824701895,0.3022048759500932,0.24599598782504356,0.19054936769246528,0.16961394811161998,0.2019907463350664,0.16646836522024214,0.17836537530478966,0.1980843097483448,0.1967507049055102,0.15932549863178075,0.1281352520596456,0.11666410687894176,31.47,99.105,2750.0
16,0.34042976660188273,0.2786522480874349,0.3014514634196328,0.33320736912665233,0.31912835393246913,0.2714205730927398,0.18889021671373596,0.1782820547564348,0.21944014980330634,0.174134378156501,0.18794092392911416,0.21289124164295664,0.2073870150813185,0.17883798861424538,0.1263378574459679,0.1188614987049854,30.42,99.105,3034.0
17,0.29535138313315074,0.2583086473118909,0.28633605030261183,0.3085137303220181,0.2950887900027802,0.2552353689694025,0.19096090109600666,0.1721751026500242,0.1932627783240852,0.16375326670373738,0.1783591386394765,0.19872118066428834,0.195729292790354,0.17054418062892338,0.1285114956320695,0.1193942638903116,30.79,99.105,3200.0
18,0.33123380003453445,0.2629346875942017,0.28224324177995,0.30200591406346045,0.3064532726554384,0.22451674095318933,0.20104998083085796,0.17323375963944454,0.2159981597300469,0.16381829598433648,0.17796231785656802,0.19516327357226051,0.2074426064180044,0.149310664481482,0.13416059731632013,0.11559411375642024,29.58,99.105,3371.0
19,0.38400583258684173,0.30400118664309383,0.32168378778654544,0.34762676435205386,0.34801984358810745,0.31013261113241075,0.2186687080583562,0.1870336519410585,0.2414507081423193,0.18368065455631144,0.19164519194745594,0.21831620209518174,0.2292623739251073,0.2061477144287024,0.14183539443070572,0.12191612607734972,30.605,99.105,3285.5
